UKBB data field	ICD10	PheCode	Lookup text	Curated reported trait	main ontology URI(s)	main ontology label(s)	Publication	User submitted trait	qc_status	qc_resolution_modes	qc_label_match_modes	qc_unresolved_ids	final_update_applied	final_update_reason
-	A01.0	-	ICD10 A01.0 typhoid fever	ICD10 A01.0: typhoid fever	EFO_0006789	typhoid fever	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	A03	-	ICD10 A03 shigellosis	ICD10 A03: shigellosis	EFO_0005585	shigellosis	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	A06	-	ICD10 A06 amebiasis	ICD10 A06: amebiasis	EFO_0007144	amebiasis	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	A07.0	-	ICD10 A07.0 balantidiasis	ICD10 A07.0: balantidiasis	EFO_0007163	balantidiasis	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	A07.1	-	ICD10 A07.1 giardiasis	ICD10 A07.1: giardiasis	MONDO_0001103	giardiasis	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	A07.2	-	ICD10 A07.2 cryptosporidiosis	ICD10 A07.2: cryptosporidiosis	MONDO_0015474	cryptosporidiosis	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	A07.3	-	ICD10 A07.3 cyclosporiasis	ICD10 A07.3: cyclosporiasis	EFO_0007230	cyclosporiasis	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	A07.4	-	ICD10 A07.4 cyclosporiasis	ICD10 A07.4: cyclosporiasis	EFO_0007230	cyclosporiasis	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	A15.6	-	ICD10 A15.6 pleural tuberculosis	ICD10 A15.6: pleural tuberculosis	EFO_0007446	pleural tuberculosis	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	A17	-	ICD10 A17 central nervous system tuberculosis	ICD10 A17: central nervous system tuberculosis	EFO_0007199	central nervous system tuberculosis	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
