UKBB data field	ICD10	PheCode	Lookup text	Curated reported trait	main ontology URI(s)	main ontology label(s)	Publication	User submitted trait	qc_status	qc_resolution_modes	qc_label_match_modes	qc_unresolved_ids	final_update_applied	final_update_reason
5	-	-	Sample collection duration	Sample collection duration (UKB data field 5)	EFO_0001444	measurement	UKBFieldSupplement_v1	-	review_required	ukb_field_supplement_generic_measurement	ukb_field_supplement_generic_measurement		yes	ukb_field_supplement_cache_generated
6	-	-	Conclusion duration	Conclusion duration (UKB data field 6)	EFO_0001444	measurement	UKBFieldSupplement_v1	-	review_required	ukb_field_supplement_generic_measurement	ukb_field_supplement_generic_measurement		yes	ukb_field_supplement_cache_generated
19	-	-	Heel ultrasound method	Heel ultrasound method (UKB data field 19)	EFO_0001444	measurement	UKBFieldSupplement_v1	-	review_required	ukb_field_supplement_generic_measurement	ukb_field_supplement_generic_measurement		yes	ukb_field_supplement_cache_generated
21	-	-	Weight method	Weight method (UKB data field 21)	EFO_0004302	anthropometric measurement	UKBFieldSupplement_v1	-	review_required	ukb_field_supplement_category_ontology_exact	ukb_field_supplement_category_ontology_exact		yes	ukb_field_supplement_cache_generated
23	-	-	Spirometry method	Spirometry method (UKB data field 23)	EFO_0001444	measurement	UKBFieldSupplement_v1	-	review_required	ukb_field_supplement_generic_measurement	ukb_field_supplement_generic_measurement		yes	ukb_field_supplement_cache_generated
31	-	-	Sex	Sex (UKB data field 31)	PATO_0001894	phenotypic sex	UKBFieldSupplement_v1	-	review_required	ukb_field_supplement_field_title_ontology_exact	ukb_field_supplement_field_title_ontology_exact		yes	ukb_field_supplement_cache_generated
33	-	-	Date of birth	Date of birth (UKB data field 33)	EFO_0004950	date of birth	UKBFieldSupplement_v1	-	review_required	ukb_field_supplement_field_title_ontology_exact	ukb_field_supplement_field_title_ontology_exact		yes	ukb_field_supplement_cache_generated
34	-	-	Year of birth	Year of birth (UKB data field 34)	EFO_0009711	Townsend deprivation index	UKBFieldSupplement_v1	-	review_required	ukb_field_supplement_category_cache_unique	ukb_field_supplement_category_cache_unique		yes	ukb_field_supplement_cache_generated
35	-	-	Was blood sampling attempted	Was blood sampling attempted (UKB data field 35)	EFO_0001444	measurement	UKBFieldSupplement_v1	-	review_required	ukb_field_supplement_generic_measurement	ukb_field_supplement_generic_measurement		yes	ukb_field_supplement_cache_generated
36	-	-	Blood pressure device ID	Blood pressure device ID (UKB data field 36)	EFO_0001444	measurement	UKBFieldSupplement_v1	-	review_required	ukb_field_supplement_generic_measurement	ukb_field_supplement_generic_measurement		yes	ukb_field_supplement_cache_generated
37	-	-	Blood pressure manual sphygmomanometer device ID	Blood pressure manual sphygmomanometer device ID (UKB data field 37)	EFO_0001444	measurement	UKBFieldSupplement_v1	-	review_required	ukb_field_supplement_generic_measurement	ukb_field_supplement_generic_measurement		yes	ukb_field_supplement_cache_generated
38	-	-	Hand grip dynamometer device ID	Hand grip dynamometer device ID (UKB data field 38)	EFO_0006941	grip strength measurement	UKBFieldSupplement_v1	-	review_required	ukb_field_supplement_category_cache_unique	ukb_field_supplement_category_cache_unique		yes	ukb_field_supplement_cache_generated
39	-	-	Height measure device ID	Height measure device ID (UKB data field 39)	EFO_0004302	anthropometric measurement	UKBFieldSupplement_v1	-	review_required	ukb_field_supplement_category_ontology_exact	ukb_field_supplement_category_ontology_exact		yes	ukb_field_supplement_cache_generated
40	-	-	Manual scales device ID	Manual scales device ID (UKB data field 40)	EFO_0004302	anthropometric measurement	UKBFieldSupplement_v1	-	review_required	ukb_field_supplement_category_ontology_exact	ukb_field_supplement_category_ontology_exact		yes	ukb_field_supplement_cache_generated
41	-	-	Seating box device ID	Seating box device ID (UKB data field 41)	EFO_0004302	anthropometric measurement	UKBFieldSupplement_v1	-	review_required	ukb_field_supplement_category_ontology_exact	ukb_field_supplement_category_ontology_exact		yes	ukb_field_supplement_cache_generated
42	-	-	Spirometer device ID	Spirometer device ID (UKB data field 42)	EFO_0001444	measurement	UKBFieldSupplement_v1	-	review_required	ukb_field_supplement_generic_measurement	ukb_field_supplement_generic_measurement		yes	ukb_field_supplement_cache_generated
43	-	-	Impedance device ID	Impedance device ID (UKB data field 43)	EFO_0004302	anthropometric measurement	UKBFieldSupplement_v1	-	review_required	ukb_field_supplement_category_ontology_exact	ukb_field_supplement_category_ontology_exact		yes	ukb_field_supplement_cache_generated
