trait	uri
"celiac disease"	"http://purl.obolibrary.org/obo/MONDO_0005130"
endometriosis	"http://purl.obolibrary.org/obo/MONDO_0005133"
malaria	"http://purl.obolibrary.org/obo/MONDO_0005136"
"lung carcinoma"	"http://purl.obolibrary.org/obo/MONDO_0005138"
"MHPG measurement"	"http://www.ebi.ac.uk/efo/EFO_0005133"
"thyroxine amount"	"http://purl.obolibrary.org/obo/OBA_1001010"
"antioxidant measurement"	"http://www.ebi.ac.uk/efo/EFO_0005119"
"arm span"	"http://www.ebi.ac.uk/efo/EFO_0005108"
"CCL5 measurement"	"http://www.ebi.ac.uk/efo/EFO_0005117"
"energy expenditure"	"http://www.ebi.ac.uk/efo/EFO_0005109"
"fatty acid amount"	"http://purl.obolibrary.org/obo/OBA_VT0010046"
"folic acid amount"	"http://purl.obolibrary.org/obo/OBA_1001015"
"gestational age"	"http://www.ebi.ac.uk/efo/EFO_0005112"
"head circumference"	"http://purl.obolibrary.org/obo/OBA_VT0000047"
"IGFBP-1 measurement"	"http://www.ebi.ac.uk/efo/EFO_0005118"
"metabolic rate measurement"	"http://www.ebi.ac.uk/efo/EFO_0005115"
"urinary metabolite measurement"	"http://www.ebi.ac.uk/efo/EFO_0005116"
"amino acid measurement"	"http://www.ebi.ac.uk/efo/EFO_0005134"
"body composition measurement"	"http://www.ebi.ac.uk/efo/EFO_0005106"
"energy intake"	"http://www.ebi.ac.uk/efo/EFO_0003939"
"physical activity"	"http://www.ebi.ac.uk/efo/EFO_0003940"
"response to perphenazine"	"http://purl.obolibrary.org/obo/GO_0097334"
"cardiac troponin T measurement"	"http://www.ebi.ac.uk/efo/EFO_0005043"
cataract	"http://purl.obolibrary.org/obo/MONDO_0005129"
"Mental deterioration"	"http://purl.obolibrary.org/obo/HP_0001268"
"hypertrophic cardiomyopathy"	"http://purl.obolibrary.org/obo/MONDO_0005045"
"lean body mass"	"http://www.ebi.ac.uk/efo/EFO_0004995"
"lipoprotein measurement"	"http://www.ebi.ac.uk/efo/EFO_0004732"
"otitis media"	"http://purl.obolibrary.org/obo/MONDO_0005441"
pancreatitis	"http://purl.obolibrary.org/obo/MONDO_0004982"
"platelet reactivity efficacy"	"http://purl.obolibrary.org/obo/OBA_2045287"
