efo_id	label	synonyms	source
EFO:0000246	age		efo-obo-measurement-branch
EFO:0000287	biopsy number		efo-obo-measurement-branch
EFO:0000388	electrical current		efo-obo-measurement-branch
EFO:0000391	damage intensity		efo-obo-measurement-branch
EFO:0000409	disease free survival	Disease-Free Survival|morbidity-free survival	efo-obo-measurement-branch
EFO:0000412	distant metastasis free survival	event distant metastases|time to development of distant metastases	efo-obo-measurement-branch
EFO:0000428	dose		efo-obo-measurement-branch
EFO:0000433	duration		efo-obo-measurement-branch
EFO:0000480	event death		efo-obo-measurement-branch
EFO:0000482	event free survival time		efo-obo-measurement-branch
EFO:0000513	genotype		efo-obo-measurement-branch
EFO:0000627	number of injections		efo-obo-measurement-branch
EFO:0000633	operator variation	OperatorVariation	efo-obo-measurement-branch
EFO:0000638	overall survival		efo-obo-measurement-branch
EFO:0000648	period of infection		efo-obo-measurement-branch
EFO:0000686	risk status		efo-obo-measurement-branch
EFO:0000689	sampling time	sampling_time_point	efo-obo-measurement-branch
EFO:0000714	survival time	survival|time of survival	efo-obo-measurement-branch
EFO:0000718	exposure temperature		efo-obo-measurement-branch
EFO:0000719	temporal measurement		efo-obo-measurement-branch
EFO:0000721	time		efo-obo-measurement-branch
EFO:0000724	timepoint		efo-obo-measurement-branch
EFO:0001444	measurement		efo-obo-measurement-branch
EFO:0003892	pulmonary function measurement	FUNCTION TEST PULM|FUNCTION TESTS PULM|Function Test, Lung|Function Test, Pulmonary|Function Test, Respiratory|Function Tests, Lung|Function Tests, Pulmonary|Function Tests, Respiratory|Lung Function Test|Lung Function Tests|PULM FUNCTION TEST|PULM FUNCTION TESTS|Pulmonary Function Tests|Respiratory Function Test|Respiratory Function Tests|TEST PULM FUNCTION|TESTS PULM FUNCTION|Test, Lung Function|Test, Pulmonary Function|Test, Respiratory Function|Tests, Lung Function|Tests, Pulmonary Function|Tests, Respiratory Function|pulmonary function test	efo-obo-measurement-branch
EFO:0003912	ankle brachial index	ABPI|Ankle Brachial Indices|Ankle Brachial Pressure Index (ABPI)|Ankle-Brachial Index|Ankle-Brachial Indices|Brachial Index, Ankle|Brachial Index, Toe|Brachial Indices, Ankle|Brachial Indices, Toe|Index, Ankle Brachial|Index, Ankle-Brachial|Index, Toe Brachial|Index, Toe-Brachial|Indices, Ankle Brachial|Indices, Ankle-Brachial|Indices, Toe Brachial|Indices, Toe-Brachial|Toe Brachial Index|Toe Brachial Indices|Toe-Brachial Index|Toe-Brachial Indices|ankle brachial pressure index	efo-obo-measurement-branch
EFO:0003926	neuropsychological test	Aphasia Test|Aphasia Tests|Memory for Designs Test|NEUROPSYCHOL TEST|NEUROPSYCHOL TESTS|Neuropsychologic Test|Neuropsychologic Tests|Neuropsychological Tests|TEST NEUROPSYCHOL|TESTS NEUROPSYCHOL|Test, Aphasia|Test, Neuropsychologic|Test, Neuropsychological|Tests, Aphasia|Tests, Neuropsychologic|Tests, Neuropsychological|cognitive performance|cognitive performance test|cognitive test performance	efo-obo-measurement-branch
EFO:0003962	pulsed doppler echocardiography	DOPPLER ECHOCARDIOGR PULSED|DOPPLER PULSED ECHOCARDIOGR|Doppler Echocardiography, Pulsed|Doppler Pulsed Echocardiography|ECHOCARDIOGR DOPPLER PULSED|ECHOCARDIOGR PULSED DOPPLER|Echocardiography, Doppler Pulsed|Echocardiography, Doppler, Pulsed|Echocardiography, Pulsed Doppler|PULSED DOPPLER ECHOCARDIOGR|PULSED ECHOCARDIOGR DOPPLER|Pulsed Echocardiography, Doppler	efo-obo-measurement-branch
EFO:0003965	very low birth weight infant	INFANT VLBW|Infant, Very Low Birth Weight|Infant, Very-Low-Birth-Weight|Infants, Very-Low-Birth-Weight|VLBW INFANT|Very Low Birth Weight|Very Low Birth Weight Infant|Very-Low-Birth-Weight Infant|Very-Low-Birth-Weight Infants	efo-obo-measurement-branch
EFO:0004134	tumor size	size of tumor	efo-obo-measurement-branch
EFO:0004297	clinical laboratory measurement	clinical laboratory techniques	efo-obo-measurement-branch
EFO:0004298	cardiovascular measurement	Diagnostic Techniques, Cardiovascular|cardiovascular diagnostic technique	efo-obo-measurement-branch
EFO:0004299	life expectancy		efo-obo-measurement-branch
EFO:0004302	anthropometric measurement	anthropometric traits|anthropometry	efo-obo-measurement-branch
EFO:0004303	vital signs		efo-obo-measurement-branch
EFO:0004305	erythrocyte count	RBC|erythrocyte number|red blood cell count	efo-obo-measurement-branch
EFO:0004306	erythrocyte indices	RBC count|erythrocyte index|erythrocyte indexes|erythrocyte size determination|red cell index|red cell indices	efo-obo-measurement-branch
EFO:0004307	glucose tolerance test		efo-obo-measurement-branch
EFO:0004309	platelet count	blood platelet number	efo-obo-measurement-branch
EFO:0004312	vital capacity	FVC|forced vital capacity	efo-obo-measurement-branch
EFO:0004313	maximal midexpiratory flow rate	FEF25-75%	efo-obo-measurement-branch
EFO:0004314	forced expiratory volume	FEV1|FEVt|timed vital capacity	efo-obo-measurement-branch
EFO:0004324	body weights and measures	body measures	efo-obo-measurement-branch
EFO:0004327	electrocardiography	EKG|electrocardiogram	efo-obo-measurement-branch
EFO:0004328	exercise test	stress test	efo-obo-measurement-branch
EFO:0004338	body weight	weight	efo-obo-measurement-branch
EFO:0004340	body mass index	BMI|Quetelet's Index	efo-obo-measurement-branch
EFO:0004341	body fat distribution	body fat patterning	efo-obo-measurement-branch
EFO:0004343	waist-hip ratio		efo-obo-measurement-branch
EFO:0004344	birth weight	birthweight	efo-obo-measurement-branch
EFO:0004345	corneal topography	videokeratography	efo-obo-measurement-branch
EFO:0004346	neuroimaging measurement	brain imaging	efo-obo-measurement-branch
EFO:0004348	hematocrit	Ht|packed erythrocyte volume|packed red-cell volume	efo-obo-measurement-branch
EFO:0004352	mortality	mortality measurement|mortality rate	efo-obo-measurement-branch
EFO:0004357	electroencephalogram measurement	brain oscillations|brain waves|brainwaves|electroencephalogram traits	efo-obo-measurement-branch
EFO:0004358	event-related brain oscillation	event-related brain oscillations	efo-obo-measurement-branch
EFO:0004425	initial time point	initial timepoint	efo-obo-measurement-branch
EFO:0004458	C-reactive protein measurement	C-reactive protein level	efo-obo-measurement-branch
EFO:0004459	ferritin measurement	ferritin level	efo-obo-measurement-branch
EFO:0004460	soluble transferrin receptor measurement	sTfR level|soluble transferrin receptor level	efo-obo-measurement-branch
EFO:0004461	iron biomarker measurement	iron biomarker level|iron status biomarkers	efo-obo-measurement-branch
EFO:0004462	PR interval	PQ interval	efo-obo-measurement-branch
EFO:0004467	insulin measurement	insulin level	efo-obo-measurement-branch
EFO:0004468	glucose measurement	glucose level	efo-obo-measurement-branch
EFO:0004469	HOMA-B	homeostasis model assessment B cell function	efo-obo-measurement-branch
EFO:0004471	insulin sensitivity measurement	insulin sensitivity test	efo-obo-measurement-branch
EFO:0004501	HOMA-IR	homeostasis model assessment insulin resistance	efo-obo-measurement-branch
EFO:0004502	adiponectin measurement	adiponectin levels	efo-obo-measurement-branch
EFO:0004503	hematological measurement		efo-obo-measurement-branch
EFO:0004506	monocyte early outgrowth colony forming unit	early outgrowth endothelial progenitor cell colony forming units|monocyte early outgrowth colony forming units	efo-obo-measurement-branch
EFO:0004507	D dimer measurement	D-dimer levels|fibrin D-dimer levels|plasma D-dimer levels	efo-obo-measurement-branch
EFO:0004508	spine bone size		efo-obo-measurement-branch
EFO:0004509	hemoglobin measurement	Hb|haemoglobin measurement|hemoglobin count|hemoglobin levels	efo-obo-measurement-branch
EFO:0004510	HPV seropositivity		efo-obo-measurement-branch
EFO:0004511	femoral neck bone geometry		efo-obo-measurement-branch
EFO:0004512	bone measurement		efo-obo-measurement-branch
EFO:0004513	bone geometry		efo-obo-measurement-branch
EFO:0004514	bone quantitative ultrasound measurement	bone quantitative ultrasound|broadband ultrasound attenuation	efo-obo-measurement-branch
EFO:0004515	muscle measurement	muscle mass|muscle mass measurement	efo-obo-measurement-branch
EFO:0004516	bone fracture related measurement	fracture-related traits	efo-obo-measurement-branch
EFO:0004517	arterial stiffness measurement	arterial stiffness	efo-obo-measurement-branch
EFO:0004519	soluble P-selectin measurement	sP-selectin|soluble P-selectin level	efo-obo-measurement-branch
EFO:0004520	ICAM-1 measurement	sICAM-1|soluble ICAM1 measurement|soluble intercellular adhesion molecule-1	efo-obo-measurement-branch
EFO:0004522	adhesion molecule measurement	soluble adhesion molecule measurement	efo-obo-measurement-branch
EFO:0004527	mean corpuscular hemoglobin	MCH|mean corpuscular haemoglobin	efo-obo-measurement-branch
EFO:0004528	mean corpuscular hemoglobin concentration	CHCM|Corpuscular HGB Concentration Mean|Corpuscular Hemoglobin Concentration Mean|Erythrocyte Corpuscular Hemoglobin Concentration Mean|MCHC|mean corpuscular haemoglobin concentration	efo-obo-measurement-branch
EFO:0004529	lipid measurement		efo-obo-measurement-branch
EFO:0004530	triglyceride measurement	triglyceride levels	efo-obo-measurement-branch
EFO:0004531	urate measurement	urate levels	efo-obo-measurement-branch
EFO:0004532	serum gamma-glutamyl transferase measurement	GGT measurement|Gamma gluatamyl transferase levels|Gamma glutamyl transpeptidase levels|gamma glutamyl transferase measurement	efo-obo-measurement-branch
EFO:0004533	alkaline phosphatase measurement	AP	efo-obo-measurement-branch
EFO:0004534	creatine kinase measurement		efo-obo-measurement-branch
EFO:0004536	total blood protein measurement	TBP|serum total protein	efo-obo-measurement-branch
EFO:0004541	HbA1c measurement	A1C measurement|A1c measurement|Glycosylated Hemoglobin|Glycosylated Hemoglobin Measurement|HBA1C|HbA1c levels|Hemoglobin A1C|glycated hemoglobin levels|glycosylated Haemoglobin A level|glycosylated Hemoglobin A level	efo-obo-measurement-branch
