UKBB data field	ICD10	PheCode	Lookup text	Curated reported trait	main ontology URI(s)	main ontology label(s)	Publication	User submitted trait	qc_status	qc_resolution_modes	qc_label_match_modes	qc_unresolved_ids	final_update_applied	final_update_reason
-	-	-	Other symptoms and signs involving the digestive system and abdomen	Other symptoms and signs involving the digestive system and abdomen	MONDO_0004335	digestive system disorder	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Other and unspecified malignant neoplasm of skin	Other and unspecified malignant neoplasm of skin	MONDO_0002531	skin neoplasm	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Other and unspecified malignant neoplasm of skin of other and unspecified parts of face	Other and unspecified malignant neoplasm of skin of other and unspecified parts of face	MONDO_0002531	skin neoplasm	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Other and unspecified malignant neoplasm of skin of scalp and neck	Other and unspecified malignant neoplasm of skin of scalp and neck	MONDO_0002531	skin neoplasm	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Other and unspecified malignant neoplasm of skin of trunk	Other and unspecified malignant neoplasm of skin of trunk	MONDO_0002531	skin neoplasm	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Unspecified acute lower respiratory infection	Unspecified acute lower respiratory infection	MONDO_0000270	lower respiratory tract disorder	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Alcohol related disorders	Alcohol related disorders	MONDO_0021698	alcohol-related disorders	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Cognitive function - FI9 concept interpolation - tall	Cognitive function - FI9 concept interpolation - tall	EFO_0008354	cognitive function measurement	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Malignant neoplasm of stomach	Malignant neoplasm of stomach	MONDO_0021085	gastric neoplasm	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Acute pharyngitis, unspecified	Acute pharyngitis, unspecified	MONDO_0020600	acute pharyngitis	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	fracture clavicle collar bone	fracture clavicle collar bone	EFO_0009614	clavicle fracture	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Unstable angina	Unstable angina	EFO_0003913	angina pectoris	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Cognitive function - FI7 synonym - cease	Cognitive function - FI7 synonym - cease	EFO_0008354	cognitive function measurement	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
