UKBB data field	ICD10	PheCode	Lookup text	Curated reported trait	main ontology URI(s)	main ontology label(s)	Publication	User submitted trait	qc_status	qc_resolution_modes	qc_label_match_modes	qc_unresolved_ids	final_update_applied	final_update_reason
-	-	-	TAG SevereBleeding (RGC)	Severe bleeding	HP_0001892	Abnormal bleeding	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Waist circumference (48)	Waist circumference (UKB data field 48)	OBA_1001085	waist circumference	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Wears glasses or contact lenses - Yes (2207)	Wears glasses or contact lenses (UKB data field 2207)	MONDO_0004892	refractive error	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Hip circumference (49)	Hip circumference (UKB data field 49)	OBA_1000032	hip circumference	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Standing height (50)	Standing height (UKB data field 50)	OBA_VT0001253	body height	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	DD DM - Yes (2443)	Diabetes mellitus (UKB data field 2443)	MONDO_0005015	diabetes mellitus	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Other eye problems - Yes (2227)	Other eye problems (UKB data field 2227)	MONDO_0005328	eye disorder	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	DD Cancer - Yes (2453)	Cancer (UKB data field 2453)	MONDO_0004992	cancer	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Abdominal discomfort pain for 6 months or longer - Yes (21027)	Abdominal discomfort pain for 6 months or longer (UKB data field 21027) (Gene-based burden)	HP_0002027	Abdominal pain	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Actions taken following self harm - Need hospital treatment eg A E (20554)	Actions taken following self harm - Need hospital treatment e.g. A&E (UKB data field 20554) (Gene-based burden)	HP_0100716	Self-injurious behavior	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Actions taken following self harm - Receive help from friends family neighbours (20554)	Actions taken following self harm - Receive help from friends family neighbours (UKB data field 20554) (Gene-based burden)	HP_0100716	Self-injurious behavior	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Actions taken following self harm - See anyone from psychiatric or mental health services including liaison services (20554)	Actions taken following self harm - See anyone from psychiatric or mental health services including liaison services (UKB data field 20554) (Gene-based burden)	HP_0100716	Self-injurious behavior	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Fractured bones in last 5 years - Yes (2463)	Fractured bones in last 5 years (UKB data field 2463)	MONDO_0005315	bone fracture	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Actions taken following self harm - See own GP (20554)	Actions taken following self harm - See own GP (UKB data field 20554) (Gene-based burden)	HP_0100716	Self-injurious behavior	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Actions taken following self harm - Use a helpline voluntary organization (20554)	Actions taken following self harm - Use a helpline voluntary organization (UKB data field 20554) (Gene-based burden)	HP_0100716	Self-injurious behavior	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	AdultAsthmaCases vs AdultAsthmaControls (RGC)	Adult asthma (Gene-based burden)	MONDO_0004979	asthma	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	AdultAsthmaCases vs AllergicDiseaseControls (RGC)	Adult asthma vs allergic disease (Gene-based burden)	MONDO_0004979	asthma	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Age at cancer diagnosis (40008)	Age at cancer diagnosis (UKB data field 40008) (Gene-based burden)	OBA_2040153	age of onset of cancer	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Age at first episode of depression (20433)	Age at first episode of depression (UKB data field 20433) (Gene-based burden)	OBA_2040166	age of onset of depressive disorder	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Chest pain or discomfort - Yes (2335)	Chest pain or discomfort (UKB data field 2335)	HP_0100749	Chest pain	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	TAG ProbableT2D (RGC)	Probable type 2 diabetes	MONDO_0005148	type 2 diabetes mellitus	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Skin colour - Brown (1717)	Skin colour - Brown (UKB data field 1717)	OBA_VT0002095	skin pigmentation	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Age hay fever rhinitis or eczema diagnosed (3761)	Hay fever rhinitis or eczema (age of onset) (UKB data field 3761) (Gene-based burden)	OBA_2001017	age of onset of allergic disease	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Skin colour - Dark olive (1717)	Skin colour - Dark olive (UKB data field 1717)	OBA_VT0002095	skin pigmentation	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Age high blood pressure diagnosed (2966)	High blood pressure (age of onset) (UKB data field 2966) (Gene-based burden)	OBA_2040159	age of onset of hypertensive disorder	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Skin colour - Fair (1717)	Skin colour - Fair (UKB data field 1717)	OBA_VT0002095	skin pigmentation	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Skin colour - Light olive (1717)	Skin colour - Light olive (UKB data field 1717)	OBA_VT0002095	skin pigmentation	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Skin colour - Very fair (1717)	Skin colour - Very fair (UKB data field 1717)	OBA_VT0002095	skin pigmentation	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Impedance of leg right (23107)	Impedance of leg right (UKB data field 23107)	HP_0000924	Abnormality of the skeletal system	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Impedance of leg left (23108)	Impedance of leg left (UKB data field 23108)	HP_0000924	Abnormality of the skeletal system	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Impedance of whole body (23106)	Impedance of whole body (UKB data field 23106)	HP_0000924	Abnormality of the skeletal system	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Impedance of arm left (23110)	Impedance of arm left (UKB data field 23110)	HP_0000924	Abnormality of the skeletal system	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Impedance of arm right (23109)	Impedance of arm right (UKB data field 23109)	HP_0000924	Abnormality of the skeletal system	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Albumin (30600)	Albumin levels (UKB data field 30600) (Gene-based burden)	OBA_2050068	serum albumin amount	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	ALD Composite CC (RGC)	Alcohol liver disease - composite (Gene-based burden)	MONDO_0043693	alcoholic liver diseases	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	AllergicDiseaseCases vs AllergicDiseaseControls (RGC)	Allergic disease (Gene-based burden)	MONDO_0005271	allergic disease	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Leg fat mass right (23112)	Leg fat mass right (UKB data field 23112)	OBA_0004528	fat pad mass	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Anisometropia (RGC)	Anisometropia (Gene-based burden)	HP_0012803	Anisometropia	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Anisometropia 0 (RGC)	Anisometropia (first instance) (Gene-based burden)	HP_0012803	Anisometropia	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
-	-	-	Anisometropia started wearing glasses contacts before 40 (RGC)	Anisometropia - started wearing glasses or contacts before 40 (Gene-based burden)	HP_0012803	Anisometropia	BackmanJD_PMID34662886_text_only_seed	-	validated	direct_id	exact_label		yes	backman_text_only_seed_from_study_multi_trait_bulk_upload_5
